canonical_name,status,file_name,source,source_title,source_page_url,image_url,match_method,sha256,width,height,notes
HG 1/144 ORGA'S IO FRAME SHIDEN CUSTOM,downloaded,HG 1_144 ORGA'S IO FRAME SHIDEN CUSTOM__32e2091c05.jpg,gunpla_hobby,ORGA'S IO FRAME SHIDEN CUSTOM,https://gunpla-hobby.com/gunpla/hg-1-144-1-144-0a7fb9,https://tshop.r10s.jp/otakarasouko/cabinet/_1094/1240069222686_1.jpg,official_title_release_month,85090314428657d12977f5ef10e605cda0c918a41916c243155e5ae6f16ed329,750,750,
HG 1/144 ORX-005 GAPLANT,downloaded,HG 1_144 ORX-005 GAPLANT__562b00bf13.jpg,gunpla_hangar,ORX-005 Gaplant,https://gunplahangar.com/kits/hguc-orx-005-gaplant,https://gunplahangar.com/img/kits/hguc-orx-005-gaplant/box-art-800.jpg,exact,9d6719d9fe2d5a86cd85bb181e3d901559f9febfff307bb8905cd21a5d5bc158,800,521,
HG 1/144 ORX-005 GAPLANT TR-5 HRAIROO,downloaded,HG 1_144 ORX-005 GAPLANT TR-5 HRAIROO__d1b7c5e02e.jpg,gunpla_hangar,ORX-005 Gaplant TR-5 (Hrairoo),https://gunplahangar.com/kits/hguc-orx-005-gaplant-tr-5-hrairoo,https://gunplahangar.com/img/kits/hguc-orx-005-gaplant-tr-5-hrairoo/box-art-800.jpg,exact,ed988145836042ee866a622ec813ce0f0598883527d853c03dd4c64c4fda5c29,800,516,
HG 1/144 OVER FLAG,downloaded,HG 1_144 OVER FLAG__7a91de923a.jpg,gunpla_hangar,SVMS-01O Over Flag,https://gunplahangar.com/kits/hg00-svms-01o-over-flag,https://gunplahangar.com/img/kits/hg00-svms-01o-over-flag/box-art-800.jpg,source_model_code_hangar_exact,8581544ae8e149e8f0262fde0126fa1f7628cfd35319f18b04d1f92f91d24957,800,500,
HG 1/144 PALACE-ATHENE,downloaded,HG 1_144 PALACE-ATHENE__c819dedcb8.jpg,dalong,Palace-Athene,https://www.dalong.net/reviews/hg/h60/h60_p_e.htm,https://www.dalong.net/reviews/hg/h60/p/h60.jpg,exact,360ebab216d925176b19ee908a1619a37fb6afc48e7abff46bff86270b11f863,289,176,
HG 1/144 PALE RIDER (SPACE TYPE),not_found,,,,,,,,,,bandai_manual: PALE RIDER (SPACE TYPE) | dalong: Pale Rider (Space Type) | bandai_manual: PALE RIDER(GROUND HEAVY EQUIPMENT TYPE)
HG 1/144 PALE RIDER CAVALRY,downloaded,HG 1_144 PALE RIDER CAVALRY__5ca4e344f2.jpg,gunpla_hangar,RX-80PR-2 Pale Rider Cavalry,https://gunplahangar.com/kits/hguc-rx-80pr-2-pale-rider-cavalry,https://gunplahangar.com/img/kits/hguc-rx-80pr-2-pale-rider-cavalry/box-art-800.jpg,source_model_code_hangar_exact,ba706cec913a55c4c66a7cef6fa3cb6cd27d42a84931fe2bdf4bacbc56a23af5,800,800,
HG 1/144 PALE RIDER DII (TITANS),downloaded,HG 1_144 PALE RIDER DII (TITANS)__80e3e0cb38.jpg,gunpla_hobby,PALE RIDER DII (TITANS),https://gunpla-hobby.com/gunpla/hg-1-144-1-144-ba0778,https://tshop.r10s.jp/goodsstreet/cabinet/goods1pic/systempic014/goods-09d7lmz3m1.jpg,official_title_release_month,b74c0bc5616341ac0c1313571b4ad1e4536a7497ce1599c47483e2cbd04b01fa,500,313,
HG 1/144 PALE RIDER(GROUND HEAVY EQUIPMENT TYPE),not_found,,,,,,,,,,bandai_manual: PALE RIDER(GROUND HEAVY EQUIPMENT TYPE) | dalong: Pale Rider (Ground Heavy Equipment Type) | gunpla_hobby: PALE RIDER(GROUND HEAVY EQUIPMENT TYPE)
HG 1/144 PAPA'GGUY,downloaded,HG 1_144 PAPA'GGUY__8b0fd1ee98.jpg,dalong,Papagguy,https://www.dalong.net/reviews/bf/bf52/bf52_p_e.htm,https://www.dalong.net/reviews/bf/bf52/p/bf52.jpg,exact,7abce48e2256d879ee0e1ed6552d0be0e1377517da24b6028ab01caec0f05428,300,182,
