"sha256","canonical_name"
"7a739ed6ec432f4f7173ee056f8524df7b6c58919a43803cf1c61a0b11c73f82","HG 1/144 RX-178 GUNDAM MK-II(AEUG)"
"10acaa45c7fe6ba5103ea4fc78671fed8cd8afc3531a3fa817d0b1906937d584","HG 1/144 RX-77-2 GUNCANNON"
"ffa92a5baddaa4eec5e1e78f2e681c756766cb76752916a889d637695bcc8b6e","HG 1/144 RX-78 GP-03 DENDROBIUM"
"85d706e5db66d47f548feb2ab9b13412cc8faffaa795ed84c4a29eddb87c8ef6","HG 1/144 RX-78 GP01Fb"
"eaf95a5202913e0a6a378226d36b5e5292fcc82151e261b88b62c57d742976af","HG 1/144 RX-78-3 FULL ARMOR GUNDAM 7th"
"3180f83f53197d141b703c285dc968c22f8fe8981302cead5d27c8e5c21b56d5","HG 1/144 RX-79G GUNDAM GROUND TYPE"
"332c9e797ddc47fc2ae7af20b97f13c8d8d7b16f3728697cead9844c6f538b3b","HG 1/144 SERAVEE GUNDAM & SERAPHIM GUNDAM (TRANS-AM MODE)"
"2457ac7d1c9bec416ff1ddd8979bf99f1efa3dcd9e02495259b2268097901726","HG 1/144 SHALDOLL-KAI"
"f047d0d9dcccfbac4efa4bde785b94bae2d616e6cac1f2e4aa33ae62cb0bbd56","HG 1/144 SHINNING GUNDAM"
"baa0786c89ecabd4e5caf65516fdec327270ba6879c96df3d06024e2a79adcaa","HG 1/144 UNION FLAG (GRAHAM CUSTOM)"
"8f6c018b33a8a175bc5451cb3624b44795d762ba755ae21093c48c0e2add34b9","HG 1/144 VIRTUE TRANSAM MODE"
"b4aff2824235eb2aa482fd78be205b96e5d9c188d307688f44d2c569bcf5cd24","HG 1/144 Z'GOCK"
"cf7410b3b06cd2bb5f5d334a8c9c203dfb92f21e133f0d339a96c4a0d89b71a7","HG 1/144 ZAKU GROUND ATTACK SET"
"81679cfdc081329a765e7b3b019d28922ce09a768337a76d03bc100d16a1094c","HG 1/144 ZAKUII MASS PRODUCTION TYPE"
"5dc53c552dc38a305ccaa4f490181824dc42d895f8cc431128e58ad59856fb22","HG 1/144 ZEDAS"
"acf29f0eeea79ab21a0f8f239215929a11f81a6713bffe1003d262ca485a9a26","HG 1/144 ZEDAS R"
"554756252a0ece7dd4238181e2266cee9dc58084cc1dabf4c49a1042f8585c2e","HG 1/144 ZEYDRA"
"a67e8e091f5d93e62d1edaad384f472b0b81ac2ce42adb01fed4554bd12cdf10","HG 1/550 AMX-002 NEUE ZIEL"
"cacee2921efbba23785c993f41497dbe0fc11dc72b77271d4d961a5cebf43cfd","HG 1/550 MA-06 VAL WALO"
"2eda7205f47e02723320580488776bc8c350bcfe8d609b15c0083b57893ce96a","HG 1/550 RX-78GP03 DENDROBIUM"
